Name,Description,Category
Easy tour,"App to create route to tourism area,show nearby services and convert nepali language to their home language and viceversa",Tourism
RecTour  : (Recommend Tour /Tourism),This application assist tourist personals in making decision with Recommended Solutions while visiting Nepal,Tourism
Track Nepal,This helps to track all pathway of Nepal through available vehicles with their stations & cost required to reach ones desired destination,Tourism
खेल्दै सिक्दै,"making user configurable (add/delete/modify) game app, so that content is according to childs intellectual capacity",Gaming
मेरो साथी,Health app fully focused on providing clear information and assisting users to maintain a healthy lifestyle ,Health
AdMe,To provide Web and Mobile Ad Solution,Utilities
Independent Me,Foreigner will pay the correct price for what they are buying and public transportation (getting on/off) to every nook will be possible digitally,Tourism
Vaau,An app that lists down the official market price of the basic daily commodities,Utilities
#RamiloZindagi,Application to take photos and search for nearby places where you can spend your quality time,Utilities
English Filili,"English filili is a two way learning source, for Nepalese to learn english and for foreigner to learn nepali language ",Utilities
8byte / Virtual Visit,"Virtual-visit new places, monuments and exotic places (virtually) using a PhotoSphere, or in virtual real",Tourism
8byte/ Routemandu,Suggestion of a route and its costs,Utilities
Alerto!,"An app that sends out alerts to close family, friends or personal doctor in case of any health emergency like labor, asthma or cardiac arrest",Health
Dammi!,An app that allows tourists to search for and book budget rooms/travel packages under a standardized and trusted brand (Eg: Dammi! rooms/deals),Tourism
DeliverPAL,An social delivery app that allows users to request travelers/commuters traveling to their location to deliver their products on the way,Utilities
EkNepal,A gaming app that challenges users to create a map of Nepal by putting together broken down map parts into correct positions,Gaming
AaluPlus,Game to play classic tic-tac-toe in mobile version,Gaming
Aama,It is an app to disseminate information and save lives of expected mothers,Health
Aawaz,"aawaz is a social voting app that lets user ask a question and lets friends,followers,public rate the answers by choosing from the given options",Utilities
aayo gorkhali,we are going to built a action advanture game which will have gaule life style (typical nepalese village ) and also have gorkhali story base line too,Gaming
Accident Alert,App to alert about accidents near the area,Health
Advely,Advely is a mobile advertising solution that enables the users to interact with static advertisements in magazines and newspapers,Utilities
Aero planes,Fun gaming based on 2D graphics but newer and cooler concept,Gaming
AfairyCoder/Independent me,Foreign will pay the correct price for what they are buying and public transportation will be available to every nook digitially,Tourism
Agile/Cosmic,A game to ride bike in supersonic speed!,Gaming
AimJuicer,It is an Office Time Productivity enhacer application which could be used by an office to increase there productivity,Utilities
AjakoSpecial,AjakoSpecial is a mobile app which helps restaurants around Kathmandu to share and promote their special food items/services among people/food lovers,Utilities
Ajambari,"App that makes tourists familiar with Nepali culture (dress, food, festivals, dance and music)",Tourism
Ajambari,App tha,Health
Ajambari,Strategic game w,Gaming
Ajambari,App that shows the possible routes to the destination along with information on available public,Utilities
Alexia,,Gaming
Amb+,"App to find the nearest-vaccant-Ambulance, so that people need not to wait for the one they have called, because every few second matters",Health
Ancients of Mandala,"A location based RPG allowing players to discover, persuade and level-up the ancient spirits after battling them from their allocated co-ordinates",Gaming
Android found,App to find your lost android Phone,Utilities
App of apps,An app that allows to acees any other app or act as a browser from a single app called app of apps,Utilities
Applock,"lock the app like - facebook, viber, messanger, whatsapp, wechat etc",Utilities
Apptivators / Events Hub,App that lets users know about all the happening events around them based on their interests,Utilities
Arcube Games & Animation,"A 3D Endless Runner Game based on Social, Cultural, Political and Natural aspects of Nepal",Gaming
Ascreation,To create MULTI MUSIC PLAYER which can play music on two nor more smartphone simultaneously resulting large sound (due to resonance ),Utilities
Asterisk,"Mobile, web security app that provides and saves unique encrypted passwords & usernames for different web services profiles",Utilities
atAche,"atAche is an Automatic call for help app, constantly monitoring your heart rate, attached to you at time of ache",Health
Ausadi Bibaran,Ausadi Bibaran is an informative app that gives us the detail information about the medicines available at Nepalese market,Health
Ayurvedic Remedies Nepal,App to know ayurvedic home remedies for various diseases,Health
B-Book,"This application helps the tourist to book the air-lines tickets,bus/transportation tickets and",Tourism
Baal Developers,"The app helps you to navigate through chowks and gallis of Kathmandu, with the help of photos",Tourism
Baal Developers,"App that shows different categories of prone diseases in Nepal with details, referred hospitals, doctors with list of healthy habits and safety ideas",Health
Baas (HomeStayNepal),Location specific peer-to-peer short term homestay service for internal and external tourist(a Community,Tourism
Backpackers Nepal,Trekking guide and online backpaker forum with best best hotel lodge information,Tourism
Bad Potato,Simple gaming app based on nepali saying  (एउटा कुहिएको आलु ले सबै आलु ले कुहाउछ ),Gaming
Bagh Chal,It is an old nepalese game in which users can play with AI as well as with their friends via Bluetooth,Gaming
Balance Bank,"App that handles information/subscription of services offered by network provider, balance transfer and recharge operation in a smart way",Utilities
Balance Meter,An application to monitor and keep track of your phone balance,Utilities
BalanceSheet,"An e-commerce app that help user to budget, review and plan their business",Utilities
barajyu,My idea is to implement the bluetooth bandwidth for making phone call and texting,Utilities
Be Back,App that allows people with hearing disability to contact specific persons through mobile,Health
Bechau Fatafat,The app enables user to buy and sell their second hand items online,Utilities
BeFIT,"Achieving fitness goals, keeping track of it, sharing knowledge and experience with friends, finding fitness centres through a single app",Health
Best Price,Best price for any product you want to buy,Utilities
BhansaGhar,"BhansaGhar is an app which allows the users to get necessary kitchen supplies delivered in their doors Water Jar, LPG (cooking) gas and grocery items",Utilities
